deleted_path,file_or_dir,reason,matched_rule
full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_full_D0020_seed2_history_default_unitbox,dir,root training/checkpoint result directory,generated training result folder to delete
full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_full_D0020_seed2_history_intact_unitbox,dir,root training/checkpoint result directory,generated training result folder to delete
full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_gradient_numerical_history_alpha_init_intact_topufree_D0020_seed2,dir,root training/checkpoint result directory,generated training result folder to delete
full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_42_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_current_split_tmEpsR_1em05_gradient_numerical_full_seed42_micro,dir,root training/checkpoint result directory,generated training result folder to delete
full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_42_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_checkpointed_D0020_seed42_history_default_unitbox,dir,root training/checkpoint result directory,generated training result folder to delete
full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_42_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_full_D0020_seed42_history_default_unitbox,dir,root training/checkpoint result directory,generated training result folder to delete
full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_42_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed42_history_default_unitbox,dir,root training/checkpoint result directory,generated training result folder to delete
full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_checkpointed_D0020_seed7_history_default_unitbox,dir,root training/checkpoint result directory,generated training result folder to delete
full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_full_D0020_seed7_history_default_unitbox,dir,root training/checkpoint result directory,generated training result folder to delete
full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed7_history_default_unitbox,dir,root training/checkpoint result directory,generated training result folder to delete
full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_99_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_full_D0020_seed99_history_default_unitbox,dir,root training/checkpoint result directory,generated training result folder to delete
medium_hl_4_Neurons_100_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_current_split_tmEpsR_1em05_rprop_20_lbfgs_0_gradient_numerical_stage6_probe_current_l0_1p5em4,dir,root training/checkpoint result directory,generated training result folder to delete
medium_hl_4_Neurons_100_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_phase_current_mechanics_tmEpsR_1em05_rprop_20_lbfgs_0_gradient_numerical_stage6_splitgrad_l0_1p5em4,dir,root training/checkpoint result directory,generated training result folder to delete
medium_hl_4_Neurons_100_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_rprop_20_lbfgs_0_gradient_numerical_stage6_history_l0_1p5em4,dir,root training/checkpoint result directory,generated training result folder to delete
medium_hl_4_Neurons_100_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_solve_staggered_iters_1_rprop_20_lbfgs_0_gradient_numerical_stgD0020s2,dir,root training/checkpoint result directory,generated training result folder to delete
medium_hl_4_Neurons_100_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_rprop_300_lbfgs_0_gradient_numerical_coord_cmp_unitbox_m12,dir,root training/checkpoint result directory,generated training result folder to delete
medium_hl_4_Neurons_100_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_proxBE_e0p0001_d1_rprop_20_lbfgs_0_gradient_numerical_u_prox_eta_1em4,dir,root training/checkpoint result directory,generated training result folder to delete
medium_hl_4_Neurons_100_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_proxBE_e0p001_d1_rprop_20_lbfgs_0_gradient_numerical_u_prox_eta_1em3,dir,root training/checkpoint result directory,generated training result folder to delete
medium_hl_4_Neurons_100_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_proxBE_e0p01_d1_rprop_20_lbfgs_0_gradient_numerical_u_prox_eta_1em2,dir,root training/checkpoint result directory,generated training result folder to delete
medium_hl_4_Neurons_100_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_proxBE_e1em05_d1_rprop_20_lbfgs_0_gradient_numerical_u_prox_eta_1em5,dir,root training/checkpoint result directory,generated training result folder to delete
medium_hl_4_Neurons_100_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_rprop_300_lbfgs_0_gradient_numerical_coord_cmp_none_m12,dir,root training/checkpoint result directory,generated training result folder to delete
medium_hl_4_Neurons_100_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00025_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_current_split_tmEpsR_1em05_rprop_20_lbfgs_0_gradient_numerical_stage6_current_split_l0_2p5em4,dir,root training/checkpoint result directory,generated training result folder to delete
medium_hl_4_Neurons_100_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00025_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_phase_current_mechanics_tmEpsR_1em05_rprop_20_lbfgs_0_gradient_numerical_stage6_splitgrad_l0_2p5em4,dir,root training/checkpoint result directory,generated training result folder to delete
medium_hl_4_Neurons_100_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00025_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_rprop_20_lbfgs_0_gradient_numerical_stage6_history_l0_2p5em4,dir,root training/checkpoint result directory,generated training result folder to delete
medium_hl_4_Neurons_100_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.0002_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_current_split_tmEpsR_1em05_rprop_20_lbfgs_0_gradient_numerical_stage6_current_split_l0_2p0em4,dir,root training/checkpoint result directory,generated training result folder to delete
medium_hl_4_Neurons_100_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.0002_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_phase_current_mechanics_tmEpsR_1em05_rprop_20_lbfgs_0_gradient_numerical_stage6_splitgrad_l0_2p0em4,dir,root training/checkpoint result directory,generated training result folder to delete
medium_hl_4_Neurons_100_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.0002_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_rprop_20_lbfgs_0_gradient_numerical_stage6_history_l0_2p0em4,dir,root training/checkpoint result directory,generated training result folder to delete
medium_hl_4_Neurons_100_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.0003_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_current_split_tmEpsR_1em05_rprop_20_lbfgs_0_gradient_numerical_stage6_current_split_l0_3p0em4,dir,root training/checkpoint result directory,generated training result folder to delete
medium_hl_4_Neurons_100_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.0003_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_phase_current_mechanics_tmEpsR_1em05_rprop_20_lbfgs_0_gradient_numerical_stage6_splitgrad_l0_3p0em4,dir,root training/checkpoint result directory,generated training result folder to delete
medium_hl_4_Neurons_100_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.0003_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_rprop_20_lbfgs_0_gradient_numerical_stage6_history_l0_3p0em4,dir,root training/checkpoint result directory,generated training result folder to delete
medium_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_1_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_current_split_tmEpsR_1em05_gradient_numerical,dir,root training/checkpoint result directory,generated training result folder to delete
medium_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_1_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_gradient_numerical,dir,root training/checkpoint result directory,generated training result folder to delete
medium_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_rprop_300_lbfgs_0_gradient_numerical_coordnorm2x2_default_unitbox,dir,root training/checkpoint result directory,generated training result folder to delete
medium_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_rprop_300_lbfgs_0_gradient_numerical_coordnorm2x2_intact_unitbox,dir,root training/checkpoint result directory,generated training result folder to delete
medium_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_rprop_300_lbfgs_0_gradient_numerical_coordnorm2x2_default_none,dir,root training/checkpoint result directory,generated training result folder to delete
medium_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_rprop_300_lbfgs_0_gradient_numerical_coordnorm2x2_intact_none,dir,root training/checkpoint result directory,generated training result folder to delete
mesh_l0_diagnostics.csv,file,root generated diagnostic summary,generated debug CSV/NPZ/output file to delete
mesh_l0_diagnostics.py,file,one-off root diagnostic script,one-off debug script to delete
mesh_l0_diagnostics_summary.txt,file,root generated diagnostic summary,generated debug CSV/NPZ/output file to delete
plot_clean_tm_results.py,file,old user-facing wrapper replaced by functional script name,obsolete compatibility wrapper to delete or deprecate
results,dir,legacy root result directory,generated training result folder to delete
smoke_hl_2_Neurons_20_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_rprop_1_lbfgs_0_gradient_numerical_handoff_smoke,dir,root training/checkpoint result directory,generated training result folder to delete
smoke_hl_2_Neurons_20_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_coord_unitbox_coupled_smoke,dir,root training/checkpoint result directory,generated training result folder to delete
smoke_hl_2_Neurons_20_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_rprop_1_lbfgs_0_gradient_numerical_topufree_smoke,dir,root training/checkpoint result directory,generated training result folder to delete
smoke_hl_2_Neurons_20_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_current_split_tmEpsR_1em05_rprop_1_lbfgs_0_gradient_numerical_smoke_micro_check,dir,root training/checkpoint result directory,generated training result folder to delete
smoke_hl_2_Neurons_20_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_current_split_tmEpsR_1em05_rprop_1_lbfgs_0_gradient_numerical_stage2_smoke,dir,root training/checkpoint result directory,generated training result folder to delete
smoke_hl_2_Neurons_20_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_phase_current_mechanics_tmEpsR_1em05_rprop_1_lbfgs_0_gradient_numerical_stage4_splitgrad_smoke,dir,root training/checkpoint result directory,generated training result folder to delete
smoke_hl_2_Neurons_20_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_rprop_1_lbfgs_0_gradient_numerical_stage2_smoke_history,dir,root training/checkpoint result directory,generated training result folder to delete
smoke_hl_2_Neurons_20_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_rprop_1_lbfgs_0_gradient_numerical_stage4_history_default_smoke,dir,root training/checkpoint result directory,generated training result folder to delete
smoke_hl_2_Neurons_20_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_rprop_1_lbfgs_0_gradient_numerical_uniform_root_smoke,dir,root training/checkpoint result directory,generated training result folder to delete
smoke_hl_2_Neurons_20_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_solve_staggered_iters_1_rprop_1_lbfgs_0_gradient_numerical_true_staggered_smoke,dir,root training/checkpoint result directory,generated training result folder to delete
smoke_hl_2_Neurons_20_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_rprop_1_lbfgs_0_gradient_numerical_auto_ckpt_default_smoke,dir,root training/checkpoint result directory,generated training result folder to delete
softening_gate_D0040_logs,dir,root log directory,generated log folder to delete
stage6_l0_sensitivity_summary.csv,file,root generated diagnostic summary,generated debug CSV/NPZ/output file to delete
top_u_free_final_comparison.csv,file,root generated diagnostic summary,generated debug CSV/NPZ/output file to delete
uniform_damage_phase_proximal_sweep_summary.csv,file,root generated diagnostic summary,generated debug CSV/NPZ/output file to delete
validate_mechanics_target.py,file,one-off root diagnostic script,one-off debug script to delete
