path,type,classification,action,reason,tracked_by_git_if_known
debug_recompute_stage2_smoke.csv,file,generated debug CSV/NPZ/output file to delete,delete,root debug output,not_applicable_real_project_not_git_repo
debug_stage6_current_l0_1p5em4.csv,file,generated debug CSV/NPZ/output file to delete,delete,root debug output,not_applicable_real_project_not_git_repo
debug_stage6_current_l0_2p0em4.csv,file,generated debug CSV/NPZ/output file to delete,delete,root debug output,not_applicable_real_project_not_git_repo
debug_stage6_current_l0_2p5em4.csv,file,generated debug CSV/NPZ/output file to delete,delete,root debug output,not_applicable_real_project_not_git_repo
debug_stage6_current_l0_3p0em4.csv,file,generated debug CSV/NPZ/output file to delete,delete,root debug output,not_applicable_real_project_not_git_repo
debug_stage6_history_l0_1p5em4.csv,file,generated debug CSV/NPZ/output file to delete,delete,root debug output,not_applicable_real_project_not_git_repo
debug_stage6_history_l0_2p0em4.csv,file,generated debug CSV/NPZ/output file to delete,delete,root debug output,not_applicable_real_project_not_git_repo
debug_stage6_history_l0_2p5em4.csv,file,generated debug CSV/NPZ/output file to delete,delete,root debug output,not_applicable_real_project_not_git_repo
debug_stage6_history_l0_3p0em4.csv,file,generated debug CSV/NPZ/output file to delete,delete,root debug output,not_applicable_real_project_not_git_repo
debug_stage6_splitgrad_l0_1p5em4.csv,file,generated debug CSV/NPZ/output file to delete,delete,root debug output,not_applicable_real_project_not_git_repo
debug_stage6_splitgrad_l0_2p0em4.csv,file,generated debug CSV/NPZ/output file to delete,delete,root debug output,not_applicable_real_project_not_git_repo
debug_stage6_splitgrad_l0_2p5em4.csv,file,generated debug CSV/NPZ/output file to delete,delete,root debug output,not_applicable_real_project_not_git_repo
debug_stage6_splitgrad_l0_3p0em4.csv,file,generated debug CSV/NPZ/output file to delete,delete,root debug output,not_applicable_real_project_not_git_repo
debug_step0_root_cause.py,file,one-off debug script to delete,delete,one-off root debug script,not_applicable_real_project_not_git_repo
field_computation.py,file,source code to keep,keep,formal source/input file,not_applicable_real_project_not_git_repo
full_D0020_default_unitbox_5seed_logs,dir,generated log folder to delete,delete,root log directory,not_applicable_real_project_not_git_repo
full_D0020_unitbox_logs,dir,generated log folder to delete,delete,root log directory,not_applicable_real_project_not_git_repo
full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_13_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_checkpointed_D0020_seed13_history_default_unitbox,dir,generated training result folder to delete,delete,root training/checkpoint result directory,not_applicable_real_project_not_git_repo
full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_13_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_full_D0020_seed13_history_default_unitbox,dir,generated training result folder to delete,delete,root training/checkpoint result directory,not_applicable_real_project_not_git_repo
full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_13_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed13_history_default_unitbox,dir,generated training result folder to delete,delete,root training/checkpoint result directory,not_applicable_real_project_not_git_repo
full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_1_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_current_split_tmEpsR_1em05_gradient_numerical_full_seed1_micro,dir,generated training result folder to delete,delete,root training/checkpoint result directory,not_applicable_real_project_not_git_repo
full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_21_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_full_D0020_seed21_history_default_unitbox,dir,generated training result folder to delete,delete,root training/checkpoint result directory,not_applicable_real_project_not_git_repo
full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_23_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_D0020_seed23_history_default_unitbox,dir,generated training result folder to delete,delete,root training/checkpoint result directory,not_applicable_real_project_not_git_repo
full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_current_split_tmEpsR_1em05_gradient_numerical_current_split_alpha_init_intact_D0020_seed2,dir,generated training result folder to delete,delete,root training/checkpoint result directory,not_applicable_real_project_not_git_repo
full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_current_split_tmEpsR_1em05_gradient_numerical_full_seed2_micro,dir,generated training result folder to delete,delete,root training/checkpoint result directory,not_applicable_real_project_not_git_repo
full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_gradient_numerical_full_seed2_history_D0020,dir,generated training result folder to delete,delete,root training/checkpoint result directory,not_applicable_real_project_not_git_repo
full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_gradient_numerical_history_alpha_init_intact_D0020_seed2,dir,generated training result folder to delete,delete,root training/checkpoint result directory,not_applicable_real_project_not_git_repo
full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_rprop_0_lbfgs_0_gradient_numerical_step0_budget_rprop0,dir,generated training result folder to delete,delete,root training/checkpoint result directory,not_applicable_real_project_not_git_repo
full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_rprop_100_lbfgs_0_gradient_numerical_step0_budget_rprop100,dir,generated training result folder to delete,delete,root training/checkpoint result directory,not_applicable_real_project_not_git_repo
full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_rprop_10_lbfgs_0_gradient_numerical_step0_budget_rprop10,dir,generated training result folder to delete,delete,root training/checkpoint result directory,not_applicable_real_project_not_git_repo
full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_rprop_1_lbfgs_0_gradient_numerical_step0_budget_rprop1,dir,generated training result folder to delete,delete,root training/checkpoint result directory,not_applicable_real_project_not_git_repo
full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_stg1_gradient_numerical_s2,dir,generated training result folder to delete,delete,root training/checkpoint result directory,not_applicable_real_project_not_git_repo
full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topU_free_gradient_numerical_history_alpha_intact_topu_free_D0020_seed2,dir,generated training result folder to delete,delete,root training/checkpoint result directory,not_applicable_real_project_not_git_repo
full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_full_D0020_seed2_history_default_unitbox,dir,generated training result folder to delete,delete,root training/checkpoint result directory,not_applicable_real_project_not_git_repo
full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_full_D0020_seed2_history_intact_unitbox,dir,generated training result folder to delete,delete,root training/checkpoint result directory,not_applicable_real_project_not_git_repo
full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_gradient_numerical_history_alpha_init_intact_topufree_D0020_seed2,dir,generated training result folder to delete,delete,root training/checkpoint result directory,not_applicable_real_project_not_git_repo
full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_42_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_current_split_tmEpsR_1em05_gradient_numerical_full_seed42_micro,dir,generated training result folder to delete,delete,root training/checkpoint result directory,not_applicable_real_project_not_git_repo
full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_42_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_checkpointed_D0020_seed42_history_default_unitbox,dir,generated training result folder to delete,delete,root training/checkpoint result directory,not_applicable_real_project_not_git_repo
full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_42_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_full_D0020_seed42_history_default_unitbox,dir,generated training result folder to delete,delete,root training/checkpoint result directory,not_applicable_real_project_not_git_repo
full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_42_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed42_history_default_unitbox,dir,generated training result folder to delete,delete,root training/checkpoint result directory,not_applicable_real_project_not_git_repo
full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_checkpointed_D0020_seed7_history_default_unitbox,dir,generated training result folder to delete,delete,root training/checkpoint result directory,not_applicable_real_project_not_git_repo
full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_full_D0020_seed7_history_default_unitbox,dir,generated training result folder to delete,delete,root training/checkpoint result directory,not_applicable_real_project_not_git_repo
full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed7_history_default_unitbox,dir,generated training result folder to delete,delete,root training/checkpoint result directory,not_applicable_real_project_not_git_repo
full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_99_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_full_D0020_seed99_history_default_unitbox,dir,generated training result folder to delete,delete,root training/checkpoint result directory,not_applicable_real_project_not_git_repo
geo_coarse_with_groups_mm.msh,file,source code to keep,keep,formal source/input file,not_applicable_real_project_not_git_repo
history_field_mixed_tm.py,file,source code to keep,keep,formal source/input file,not_applicable_real_project_not_git_repo
load_schedule.py,file,source code to keep,keep,formal source/input file,not_applicable_real_project_not_git_repo
load_schedule_D0020_extended.csv,file,source code to keep,keep,formal source/input file,not_applicable_real_project_not_git_repo
load_schedule_D0040_softening_gate.csv,file,source code to keep,keep,formal source/input file,not_applicable_real_project_not_git_repo
main.py,file,source code to keep,keep,formal source/input file,not_applicable_real_project_not_git_repo
medium_hl_4_Neurons_100_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_current_split_tmEpsR_1em05_rprop_20_lbfgs_0_gradient_numerical_stage6_probe_current_l0_1p5em4,dir,generated training result folder to delete,delete,root training/checkpoint result directory,not_applicable_real_project_not_git_repo
medium_hl_4_Neurons_100_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_phase_current_mechanics_tmEpsR_1em05_rprop_20_lbfgs_0_gradient_numerical_stage6_splitgrad_l0_1p5em4,dir,generated training result folder to delete,delete,root training/checkpoint result directory,not_applicable_real_project_not_git_repo
medium_hl_4_Neurons_100_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_rprop_20_lbfgs_0_gradient_numerical_stage6_history_l0_1p5em4,dir,generated training result folder to delete,delete,root training/checkpoint result directory,not_applicable_real_project_not_git_repo
medium_hl_4_Neurons_100_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_solve_staggered_iters_1_rprop_20_lbfgs_0_gradient_numerical_stgD0020s2,dir,generated training result folder to delete,delete,root training/checkpoint result directory,not_applicable_real_project_not_git_repo
medium_hl_4_Neurons_100_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_rprop_300_lbfgs_0_gradient_numerical_coord_cmp_unitbox_m12,dir,generated training result folder to delete,delete,root training/checkpoint result directory,not_applicable_real_project_not_git_repo
medium_hl_4_Neurons_100_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_proxBE_e0p0001_d1_rprop_20_lbfgs_0_gradient_numerical_u_prox_eta_1em4,dir,generated training result folder to delete,delete,root training/checkpoint result directory,not_applicable_real_project_not_git_repo
medium_hl_4_Neurons_100_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_proxBE_e0p001_d1_rprop_20_lbfgs_0_gradient_numerical_u_prox_eta_1em3,dir,generated training result folder to delete,delete,root training/checkpoint result directory,not_applicable_real_project_not_git_repo
medium_hl_4_Neurons_100_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_proxBE_e0p01_d1_rprop_20_lbfgs_0_gradient_numerical_u_prox_eta_1em2,dir,generated training result folder to delete,delete,root training/checkpoint result directory,not_applicable_real_project_not_git_repo
medium_hl_4_Neurons_100_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_proxBE_e1em05_d1_rprop_20_lbfgs_0_gradient_numerical_u_prox_eta_1em5,dir,generated training result folder to delete,delete,root training/checkpoint result directory,not_applicable_real_project_not_git_repo
medium_hl_4_Neurons_100_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_rprop_300_lbfgs_0_gradient_numerical_coord_cmp_none_m12,dir,generated training result folder to delete,delete,root training/checkpoint result directory,not_applicable_real_project_not_git_repo
medium_hl_4_Neurons_100_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00025_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_current_split_tmEpsR_1em05_rprop_20_lbfgs_0_gradient_numerical_stage6_current_split_l0_2p5em4,dir,generated training result folder to delete,delete,root training/checkpoint result directory,not_applicable_real_project_not_git_repo
medium_hl_4_Neurons_100_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00025_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_phase_current_mechanics_tmEpsR_1em05_rprop_20_lbfgs_0_gradient_numerical_stage6_splitgrad_l0_2p5em4,dir,generated training result folder to delete,delete,root training/checkpoint result directory,not_applicable_real_project_not_git_repo
medium_hl_4_Neurons_100_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00025_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_rprop_20_lbfgs_0_gradient_numerical_stage6_history_l0_2p5em4,dir,generated training result folder to delete,delete,root training/checkpoint result directory,not_applicable_real_project_not_git_repo
medium_hl_4_Neurons_100_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.0002_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_current_split_tmEpsR_1em05_rprop_20_lbfgs_0_gradient_numerical_stage6_current_split_l0_2p0em4,dir,generated training result folder to delete,delete,root training/checkpoint result directory,not_applicable_real_project_not_git_repo
medium_hl_4_Neurons_100_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.0002_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_phase_current_mechanics_tmEpsR_1em05_rprop_20_lbfgs_0_gradient_numerical_stage6_splitgrad_l0_2p0em4,dir,generated training result folder to delete,delete,root training/checkpoint result directory,not_applicable_real_project_not_git_repo
medium_hl_4_Neurons_100_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.0002_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_rprop_20_lbfgs_0_gradient_numerical_stage6_history_l0_2p0em4,dir,generated training result folder to delete,delete,root training/checkpoint result directory,not_applicable_real_project_not_git_repo
medium_hl_4_Neurons_100_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.0003_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_current_split_tmEpsR_1em05_rprop_20_lbfgs_0_gradient_numerical_stage6_current_split_l0_3p0em4,dir,generated training result folder to delete,delete,root training/checkpoint result directory,not_applicable_real_project_not_git_repo
medium_hl_4_Neurons_100_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.0003_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_phase_current_mechanics_tmEpsR_1em05_rprop_20_lbfgs_0_gradient_numerical_stage6_splitgrad_l0_3p0em4,dir,generated training result folder to delete,delete,root training/checkpoint result directory,not_applicable_real_project_not_git_repo
medium_hl_4_Neurons_100_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.0003_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_rprop_20_lbfgs_0_gradient_numerical_stage6_history_l0_3p0em4,dir,generated training result folder to delete,delete,root training/checkpoint result directory,not_applicable_real_project_not_git_repo
medium_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_1_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_current_split_tmEpsR_1em05_gradient_numerical,dir,generated training result folder to delete,delete,root training/checkpoint result directory,not_applicable_real_project_not_git_repo
medium_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_1_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_gradient_numerical,dir,generated training result folder to delete,delete,root training/checkpoint result directory,not_applicable_real_project_not_git_repo
